study_hours,assignments_pending,exam_pressure,academic_performance,sleep_hours,exercise_days_per_week,social_interactions_per_week,screen_time_hours,anxiety_level,financial_stress,family_support,peer_pressure,extracurricular_activities,relationship_issues,stress_score,stress_level
9.6,3,9,1,3.7,1,17,13.9,8,7,10,9,0,0,100.0,3
8.4,6,5,6,8.1,4,6,2.2,9,2,8,6,1,1,69.1,2
3.1,8,10,5,5.7,0,4,4.1,6,5,5,9,1,2,100.0,3
12.0,10,4,10,8.5,6,6,12.4,7,6,5,4,2,0,91.4,3
5.8,1,8,6,6.5,7,16,6.1,4,4,8,2,0,1,50.3,1
4.2,10,9,3,4.3,6,3,7.1,2,1,1,3,0,0,92.7,3
2.5,2,7,2,8.1,5,15,12.2,9,3,6,4,0,1,94.8,3
9.1,4,7,6,4.8,3,18,7.8,9,10,10,10,1,2,100.0,3
10.1,2,5,1,6.4,7,9,3.5,4,9,9,8,0,2,87.7,3
2.2,10,4,7,3.5,6,2,12.6,3,6,6,3,2,0,72.8,2
8.1,7,10,7,7.3,1,2,1.4,10,2,7,8,2,2,100.0,3
4.7,11,1,10,7.7,3,16,12.6,6,9,4,6,2,2,85.3,3
9.7,9,10,7,5.7,4,9,1.7,3,4,10,4,0,1,71.4,2
4.1,7,10,10,9.7,5,16,9.7,1,8,1,7,2,1,93.9,3
10.3,7,7,1,9.1,7,16,1.9,4,10,9,5,2,0,84.5,3
6.6,11,1,4,8.0,2,3,10.2,1,7,6,5,1,1,58.5,2
13.2,11,1,7,8.0,3,5,1.4,2,3,3,9,1,2,70.3,2
3.7,8,5,9,4.8,0,11,12.0,3,8,4,3,0,1,86.5,3
6.1,3,9,5,7.6,1,19,7.1,8,4,10,10,0,2,100.0,3
3.4,4,6,2,4.4,7,16,2.2,10,2,6,4,0,0,86.6,3
13.1,4,3,7,4.0,0,16,10.2,4,5,6,5,0,2,100.0,3
12.5,7,3,10,10.0,3,9,7.4,4,1,9,1,0,1,47.9,1
5.1,6,7,1,7.4,7,6,3.5,10,8,4,7,1,1,100.0,3
9.9,8,6,7,6.0,5,15,1.2,9,8,5,8,1,1,100.0,3
11.8,14,9,6,5.0,2,12,6.4,7,3,5,6,1,1,100.0,3
8.7,14,6,7,7.2,2,2,2.1,2,1,3,9,2,0,94.2,3
8.4,13,5,10,3.3,0,1,2.2,3,4,2,3,2,2,100.0,3
4.9,7,10,3,3.7,4,15,4.5,4,9,8,2,1,1,94.1,3
3.1,1,7,3,3.2,4,5,9.2,4,9,10,5,1,2,92.0,3
12.8,9,1,7,6.5,5,5,7.9,10,1,9,9,0,0,90.9,3
12.8,11,7,2,7.2,2,12,1.9,8,7,10,1,1,2,100.0,3
9.6,3,3,1,3.4,0,6,13.6,10,6,9,1,0,1,100.0,3
6.1,5,9,9,8.0,0,4,12.5,10,7,5,10,1,2,100.0,3
6.2,11,6,9,4.6,7,6,4.4,6,7,9,3,0,1,82.2,3
10.7,1,9,7,7.8,7,1,2.6,3,8,4,10,1,1,94.0,3
12.8,6,5,7,9.9,0,16,13.3,9,8,2,3,0,0,100.0,3
12.6,2,7,3,7.8,7,12,7.0,10,10,3,5,2,0,100.0,3
11.4,12,4,10,9.2,3,15,5.0,8,2,1,4,2,2,87.2,3
9.7,2,7,2,9.6,7,19,7.4,9,4,5,6,0,2,100.0,3
3.0,10,1,7,6.4,5,1,11.0,5,4,1,8,0,1,86.1,3
3.9,1,7,9,7.9,4,4,3.2,3,10,1,8,2,1,70.4,2
12.8,10,8,1,9.0,4,17,11.0,4,8,7,4,1,1,100.0,3
9.3,7,5,4,5.5,3,6,10.7,5,3,2,1,0,1,94.3,3
2.1,5,2,6,4.8,1,10,8.0,9,3,8,7,1,0,70.9,2
3.2,0,5,7,9.6,3,10,12.3,9,2,6,6,2,1,66.3,2
10.0,11,6,10,8.1,5,16,2.7,3,1,4,5,2,0,53.1,1
2.1,0,2,7,4.5,0,15,8.7,7,8,9,4,0,2,78.8,3
3.9,6,6,10,6.1,3,12,6.8,6,9,10,6,1,2,80.2,3
8.6,7,6,2,8.6,0,4,6.5,4,9,8,8,2,0,100.0,3
10.3,4,1,4,6.8,5,19,4.3,5,8,10,6,1,1,39.1,1
9.8,11,1,5,7.5,6,15,5.8,10,5,3,3,2,2,93.1,3
4.7,10,10,1,8.3,5,15,2.4,2,1,3,9,0,0,94.2,3
10.5,4,3,1,7.4,2,15,4.3,7,9,4,3,1,2,100.0,3
4.8,3,10,10,6.8,0,13,4.5,4,6,9,4,1,1,61.6,2
5.9,13,10,3,8.2,4,5,10.4,2,7,9,5,0,0,100.0,3
11.0,5,3,10,8.1,3,1,1.6,6,8,5,2,0,2,74.8,2
9.8,13,4,3,7.4,6,13,9.5,2,5,9,10,0,1,81.1,3
12.2,5,2,8,5.5,5,15,3.9,10,6,6,10,0,0,85.5,3
9.9,2,9,9,5.8,0,19,2.1,2,7,8,2,2,0,61.7,2
8.8,8,10,1,9.8,6,12,4.9,7,7,8,6,1,0,100.0,3
3.1,11,7,2,3.8,1,14,3.9,1,2,10,2,2,0,62.6,2
6.4,10,7,10,4.9,2,11,8.2,7,1,7,10,0,2,100.0,3
5.2,13,6,2,6.4,1,8,5.6,10,8,4,1,2,0,100.0,3
4.9,6,3,4,8.9,5,17,13.6,5,5,4,8,2,0,73.1,2
13.7,0,6,2,4.1,1,13,13.5,1,10,6,10,1,0,100.0,3
6.7,14,8,7,4.9,1,19,6.8,6,2,9,10,1,0,97.3,3
12.7,12,8,9,3.5,2,3,11.3,7,3,7,1,1,0,100.0,3
9.6,6,9,7,7.9,2,7,1.2,1,6,5,10,0,1,92.9,3
11.5,4,1,6,4.7,7,7,8.1,9,10,5,6,0,2,100.0,3
8.0,4,1,10,5.7,2,15,10.7,7,6,8,1,1,1,33.2,1
8.9,13,3,1,6.1,6,9,3.8,1,8,6,8,2,2,81.5,3
7.9,12,3,10,9.2,7,16,1.8,3,5,1,5,1,0,53.6,1
4.3,1,10,9,5.9,2,0,3.0,5,5,1,3,0,2,100.0,3
10.7,3,8,5,4.0,1,17,6.7,4,7,9,5,2,0,94.7,3
5.4,11,10,5,6.7,4,9,7.6,2,10,8,1,0,0,92.3,3
2.3,5,1,6,9.7,4,3,6.0,1,5,6,1,1,1,13.7,0
9.7,9,2,9,7.3,7,0,6.7,4,9,1,4,1,1,83.0,3
4.1,14,2,8,9.9,2,3,7.1,7,6,2,9,2,1,100.0,3
13.3,10,3,8,8.9,6,3,11.0,4,7,10,9,1,2,100.0,3
13.4,6,6,8,3.3,3,3,2.4,9,8,3,1,0,2,100.0,3
13.0,10,1,1,7.6,0,16,11.0,8,5,10,3,0,1,100.0,3
6.4,4,2,1,5.0,5,8,10.0,8,4,3,4,0,1,84.1,3
2.2,8,1,8,6.9,6,18,10.6,5,8,2,2,2,0,48.8,1
13.1,2,5,5,5.0,3,12,10.5,1,10,2,7,0,2,100.0,3
7.1,0,7,9,5.4,5,3,7.1,9,9,6,3,1,0,87.7,3
13.6,3,8,2,9.5,3,4,3.7,2,1,7,1,2,2,70.0,2
13.6,8,10,9,4.4,3,12,8.0,6,3,4,1,0,1,100.0,3
12.2,3,1,8,9.1,7,15,13.5,10,4,1,3,0,2,93.4,3
5.5,1,7,9,3.2,4,4,8.7,5,7,6,6,1,2,85.2,3
6.6,9,5,4,3.6,0,7,1.1,10,6,7,4,1,0,100.0,3
12.2,13,10,1,9.0,3,15,1.8,8,10,4,1,2,1,100.0,3
5.8,13,1,1,7.4,2,0,13.9,3,10,6,7,0,1,100.0,3
4.0,4,3,5,8.2,5,5,1.9,6,1,9,2,0,1,26.7,0
8.7,2,7,2,4.5,6,10,1.6,6,4,4,5,1,0,75.0,3
13.2,12,10,8,6.8,4,15,5.6,10,6,10,8,2,0,100.0,3
10.4,11,1,10,8.2,5,4,13.6,3,3,4,7,1,0,64.8,2
8.8,12,7,5,7.4,7,15,5.1,7,2,10,8,1,2,97.9,3
3.2,8,5,5,6.3,2,6,6.3,4,2,5,10,2,2,73.3,2
9.4,3,1,2,9.7,2,18,9.2,5,10,3,6,0,0,84.8,3
13.9,5,1,7,7.7,3,0,1.3,9,4,10,7,0,0,75.0,2
3.7,1,1,8,9.4,2,8,12.7,6,1,2,9,0,1,54.0,1
8.2,5,9,10,8.1,0,17,7.8,10,10,9,6,2,2,100.0,3
12.5,2,3,1,8.1,7,12,7.1,4,2,1,9,2,2,84.1,3
10.9,11,5,2,3.6,2,14,12.2,8,10,5,2,2,1,100.0,3
10.4,11,10,10,5.5,3,2,13.4,9,2,5,2,2,1,100.0,3
10.4,8,9,4,9.0,5,9,6.5,10,4,8,2,2,1,100.0,3
6.3,10,6,5,4.6,7,8,3.2,5,4,6,6,1,0,74.1,2
5.5,1,9,2,3.8,2,12,11.6,2,1,6,2,0,0,80.9,3
11.7,14,8,1,5.3,4,15,6.2,6,7,6,3,2,0,100.0,3
11.7,11,8,9,4.5,7,2,13.2,8,7,4,8,0,0,100.0,3
12.4,11,1,1,9.5,7,14,13.3,5,10,1,8,2,0,100.0,3
13.0,8,9,4,9.1,6,16,2.5,1,10,3,4,0,2,100.0,3
8.1,4,6,2,6.5,4,13,13.4,8,10,10,9,1,2,100.0,3
8.0,7,9,4,3.4,4,6,5.8,9,1,6,8,0,2,100.0,3
11.6,1,3,8,8.0,5,19,9.4,1,8,5,1,0,1,41.9,1
9.8,5,3,8,7.4,1,15,1.5,8,10,10,8,2,2,82.1,3
10.4,2,6,9,9.8,6,7,12.6,10,7,1,1,0,1,100.0,3
11.5,11,9,5,6.9,4,3,9.3,2,7,5,4,1,2,100.0,3
12.7,11,7,7,5.4,4,19,9.4,4,6,2,10,1,0,100.0,3
6.1,13,3,3,6.6,1,14,12.7,2,4,1,6,1,2,99.0,3
6.5,9,3,10,9.9,5,4,7.6,2,8,4,7,2,0,59.3,2
3.1,4,2,4,7.9,6,12,6.3,10,2,6,10,2,0,72.1,2
8.9,11,9,10,7.7,4,5,12.3,3,7,7,4,2,2,100.0,3
2.4,7,3,9,4.7,3,4,10.7,8,3,9,8,2,2,89.9,3
7.6,9,5,10,8.2,5,16,13.3,4,3,5,8,2,0,65.9,2
8.5,13,9,10,8.3,6,6,13.2,7,7,8,9,1,1,100.0,3
5.4,0,8,1,5.2,4,5,6.0,10,3,8,6,0,1,100.0,3
9.1,4,2,2,6.4,4,1,6.8,3,5,9,4,1,2,60.7,2
2.4,2,3,5,5.1,1,10,4.3,10,8,3,2,2,0,75.6,3
2.4,3,2,3,4.8,6,6,9.6,3,4,3,7,1,1,53.6,1
11.9,1,8,2,3.2,3,7,5.7,2,7,9,10,0,2,100.0,3
6.3,8,6,1,5.0,5,4,11.2,6,7,7,3,2,2,100.0,3
3.5,2,6,10,6.9,2,17,2.6,6,2,4,3,1,0,34.8,1
8.3,14,9,3,3.0,0,15,2.5,1,8,1,3,1,1,100.0,3
11.2,1,8,1,5.0,3,13,3.7,7,10,7,4,0,2,100.0,3
4.6,9,4,1,9.2,2,11,2.1,4,10,10,2,2,1,70.3,2
9.5,10,4,1,7.2,3,16,9.1,3,9,6,5,2,2,100.0,3
3.0,8,9,8,7.3,6,4,2.9,8,6,3,3,0,2,100.0,3
2.6,6,1,3,5.8,2,13,3.1,2,5,5,10,0,1,51.9,1
8.4,5,2,1,7.7,6,5,1.2,9,1,3,5,0,1,73.1,2
8.5,0,2,7,4.3,2,14,11.2,8,1,8,7,0,0,60.2,2
9.6,4,6,10,8.7,3,6,11.6,8,9,5,9,2,0,100.0,3
10.7,11,4,3,3.8,1,13,3.1,3,4,10,2,2,0,73.4,2
13.7,10,10,8,7.6,3,17,10.6,4,1,10,9,1,0,100.0,3
8.2,13,3,4,5.4,6,0,6.6,2,10,6,10,1,1,97.1,3
5.9,14,3,4,8.2,3,5,4.1,2,3,2,6,1,0,62.1,2
11.5,10,3,5,6.8,7,2,9.1,4,6,8,6,2,1,81.8,3
5.2,2,6,6,6.2,7,4,3.3,6,8,9,3,2,2,64.1,2
7.3,0,8,7,4.2,2,11,10.8,5,10,3,10,2,1,100.0,3
2.9,3,7,4,7.5,7,10,1.6,1,2,6,9,1,0,49.0,1
2.3,12,4,8,9.8,0,12,13.5,10,8,6,4,0,1,100.0,3
13.6,1,4,6,8.8,2,15,1.9,1,1,2,5,0,1,41.9,1
12.0,1,10,1,3.4,7,17,8.5,6,2,10,3,0,1,94.0,3
10.4,2,2,1,5.6,4,16,12.7,3,8,8,5,0,1,61.6,2
6.9,7,1,9,9.5,3,16,1.2,3,7,5,8,0,1,45.0,1
4.1,7,9,10,6.5,5,10,7.5,7,5,8,8,2,0,91.8,3
3.9,11,2,6,7.6,3,19,5.6,1,10,8,8,1,1,53.1,1
5.0,14,8,10,9.4,7,9,8.5,1,2,3,6,0,0,69.2,2
8.6,6,9,8,9.1,1,15,3.9,10,9,5,1,0,2,100.0,3
10.6,5,4,7,6.5,6,1,1.8,3,5,7,10,0,1,66.9,2
9.9,8,8,6,6.1,5,16,9.1,8,8,5,6,2,2,100.0,3
5.4,3,9,4,5.4,2,19,6.4,1,4,6,10,0,0,80.5,3
13.5,11,10,7,8.0,1,9,9.1,10,9,2,7,1,1,100.0,3
10.9,0,10,9,5.0,3,12,3.7,4,10,8,9,2,2,100.0,3
8.7,7,5,10,4.7,7,11,5.4,9,7,5,8,2,0,86.3,3
9.3,6,7,10,5.5,2,14,8.3,4,2,6,8,2,2,87.4,3
7.0,6,10,7,4.2,2,6,8.7,10,3,1,7,0,1,100.0,3
5.0,14,4,1,7.9,4,12,5.8,8,2,10,2,0,1,73.8,2
6.3,2,1,10,7.3,4,11,4.6,7,5,2,1,0,1,30.5,1
11.1,3,3,9,6.4,7,11,4.6,3,2,4,2,0,0,30.2,1
2.2,9,5,4,5.7,7,1,3.3,7,5,9,6,1,2,88.4,3
3.4,8,3,3,9.4,0,4,5.2,7,9,6,2,2,0,86.3,3
2.6,14,7,4,3.2,4,1,3.6,10,2,8,10,0,2,100.0,3
2.5,5,9,4,8.4,6,19,9.2,3,9,2,4,1,0,84.2,3
12.3,14,6,10,9.3,5,12,8.4,2,7,10,10,2,1,91.3,3
10.4,14,10,2,6.1,2,2,6.0,9,7,5,3,2,2,100.0,3
7.7,4,1,1,6.9,4,10,5.2,1,5,1,6,2,2,50.4,1
3.2,2,7,10,9.6,7,15,4.1,7,8,4,8,0,2,87.9,3
7.9,8,3,1,4.5,0,0,8.0,4,7,10,6,2,0,89.5,3
7.7,4,5,8,6.6,7,18,12.9,2,6,1,2,0,1,60.5,2
4.1,4,10,2,6.3,7,10,9.9,2,2,9,5,1,2,71.1,2
7.2,13,4,10,4.8,7,8,10.7,8,6,2,6,2,0,100.0,3
